"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 4 23 127486 13 3 1 6
"3" 8 30 127480 20 2 2 6
"4" 12 35 127474 23 2 2 8
"5" 16 39 127470 21 5 4 9
"6" 20 62 127448 40 6 4 12
"7" 24 70 127439 46 4 4 16
"8" 28 85 127422 53 10 6 16
"9" 32 100 127407 63 9 7 21
"10" 36 126 127382 72 16 9 29
"11" 40 172 127335 100 18 12 42
"12" 44 206 127299 121 15 18 52
"13" 48 246 127256 145 20 19 62
"14" 52 315 127187 190 34 23 68
"15" 56 403 127102 245 46 27 85
"16" 60 511 126984 312 61 35 103
"17" 64 673 126813 412 71 49 141
"18" 68 888 126604 561 90 57 180
"19" 72 1102 126380 692 106 77 227
"20" 76 1384 126074 849 148 103 284
"21" 80 1844 125630 1151 197 130 366
"22" 84 2341 125097 1464 236 165 476
"23" 88 2982 124452 1870 275 216 621
"24" 92 3743 123665 2307 388 287 761
"25" 96 4813 122561 2946 541 389 937
"26" 100 6162 121188 3764 700 498 1200
"27" 104 7814 119496 4773 826 641 1574
"28" 108 9929 117314 6111 1030 818 1970
"29" 112 12631 114563 7730 1381 1048 2472
"30" 116 15871 111259 9587 1707 1382 3195
"31" 120 19869 107144 11892 2127 1785 4065
"32" 124 24796 102115 14690 2657 2258 5191
"33" 128 30870 95849 18082 3321 2857 6610
"34" 132 37878 88695 21784 4162 3611 8321
"35" 136 46075 80350 25934 5164 4537 10440
"36" 140 55032 71259 30049 6266 5683 13034
"37" 144 64726 61330 33889 7580 7011 16246
"38" 148 75015 50992 37338 9075 8624 19978
"39" 152 85247 40614 39664 10598 10525 24460
"40" 156 94946 30910 40760 11816 12721 29649
"41" 160 103699 22200 40389 12818 15125 35367
"42" 164 110939 14970 37893 13850 17734 41462
"43" 168 116597 9423 33945 14251 20498 47903
"44" 172 120650 5692 28736 14092 23301 54521
"45" 176 123248 3225 22950 13472 26051 60775
"46" 180 124844 1871 17316 12259 28594 66675
"47" 184 125837 1079 12405 10706 30776 71950
"48" 188 126448 630 8483 8812 32756 76397
"49" 192 126812 425 5578 6966 34279 79989
"50" 196 127018 292 3528 5255 35472 82763
"51" 200 127168 213 2199 3795 36345 84829
