"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 15 12744 5 5 2 3
"3" 8 19 12741 9 1 3 6
"4" 12 23 12737 13 0 3 7
"5" 16 22 12737 9 3 3 7
"6" 20 25 12735 9 5 3 8
"7" 24 30 12730 11 4 3 12
"8" 28 34 12725 14 3 3 14
"9" 32 41 12718 19 1 4 17
"10" 36 44 12716 17 5 4 18
"11" 40 51 12709 20 7 4 20
"12" 44 54 12705 18 11 4 21
"13" 48 58 12701 19 8 5 26
"14" 52 66 12693 20 11 6 29
"15" 56 67 12690 20 6 7 34
"16" 60 78 12680 25 8 10 35
"17" 64 87 12673 25 11 11 40
"18" 68 95 12662 28 9 12 46
"19" 72 101 12657 28 11 13 49
"20" 76 114 12645 33 13 14 54
"21" 80 123 12636 33 13 16 61
"22" 84 127 12632 32 9 19 67
"23" 88 135 12622 33 11 20 71
"24" 92 149 12611 38 11 21 79
"25" 96 150 12607 30 13 23 84
"26" 100 165 12595 37 10 27 91
"27" 104 173 12586 38 10 29 96
"28" 108 179 12581 35 11 34 99
"29" 112 184 12574 33 10 35 106
"30" 116 195 12564 37 11 37 110
"31" 120 204 12555 32 17 41 114
"32" 124 213 12546 30 17 44 122
"33" 128 227 12531 36 17 45 129
"34" 132 234 12525 37 13 49 135
"35" 136 243 12516 37 14 51 141
"36" 140 253 12506 37 12 53 151
"37" 144 264 12496 38 10 55 161
"38" 148 270 12490 34 12 58 166
"39" 152 274 12485 27 12 61 174
"40" 156 286 12474 31 13 63 179
"41" 160 289 12471 28 7 67 187
"42" 164 297 12461 26 13 67 191
"43" 168 313 12446 34 15 67 197
"44" 172 320 12439 36 12 71 201
"45" 176 324 12434 31 15 73 205
"46" 180 330 12429 24 18 77 211
"47" 184 340 12420 24 18 83 215
"48" 188 346 12413 25 8 89 224
"49" 192 351 12409 23 8 91 229
"50" 196 353 12407 14 13 93 233
"51" 200 357 12402 13 11 96 237
