"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 18 12742 8 7 0 3
"3" 8 21 12737 11 4 2 4
"4" 12 27 12733 16 4 2 5
"5" 16 31 12728 16 7 3 5
"6" 20 34 12724 16 4 6 8
"7" 24 40 12719 19 6 6 9
"8" 28 44 12715 20 7 7 10
"9" 32 49 12710 20 10 9 10
"10" 36 58 12702 22 13 11 12
"11" 40 71 12687 32 10 15 14
"12" 44 82 12677 33 15 16 18
"13" 48 93 12665 36 15 17 25
"14" 52 112 12644 46 14 20 32
"15" 56 134 12624 62 13 22 37
"16" 60 142 12617 59 16 24 43
"17" 64 154 12603 50 24 28 52
"18" 68 169 12586 56 17 34 62
"19" 72 192 12564 63 18 39 72
"20" 76 206 12554 63 24 43 76
"21" 80 218 12537 61 21 49 87
"22" 84 244 12514 62 29 56 97
"23" 88 265 12495 72 20 61 112
"24" 92 278 12479 64 28 62 124
"25" 96 305 12454 77 26 67 135
"26" 100 329 12429 82 19 79 149
"27" 104 346 12412 81 20 87 158
"28" 108 374 12385 93 25 91 165
"29" 112 398 12357 91 31 97 179
"30" 116 422 12335 90 35 103 194
"31" 120 449 12307 93 36 110 210
"32" 124 475 12279 89 41 118 227
"33" 128 500 12258 91 36 128 245
"34" 132 522 12235 95 32 134 261
"35" 136 549 12208 97 38 140 274
"36" 140 577 12183 102 31 149 295
"37" 144 595 12163 96 30 153 316
"38" 148 612 12142 85 27 167 333
"39" 152 628 12129 82 23 175 348
"40" 156 652 12106 77 26 182 367
"41" 160 669 12088 75 30 187 377
"42" 164 687 12073 76 27 192 392
"43" 168 693 12063 59 30 197 407
"44" 172 711 12048 59 24 206 422
"45" 176 724 12034 58 28 206 432
"46" 180 734 12025 53 31 209 441
"47" 184 749 12009 44 35 215 455
"48" 188 774 11985 63 25 221 465
"49" 192 791 11966 63 27 226 475
"50" 196 808 11952 69 27 231 481
"51" 200 814 11941 59 28 233 494
