"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 4 27 127483 17 5 1 4
"3" 8 37 127472 27 3 1 6
"4" 12 44 127466 29 3 3 9
"5" 16 52 127456 30 10 3 9
"6" 20 65 127442 37 11 5 12
"7" 24 81 127425 49 9 6 17
"8" 28 113 127392 69 12 10 22
"9" 32 145 127363 92 12 11 30
"10" 36 179 127327 109 19 14 37
"11" 40 227 127278 140 21 20 46
"12" 44 278 127229 166 31 26 55
"13" 48 347 127155 211 35 34 67
"14" 52 438 127060 272 30 42 94
"15" 56 548 126947 327 56 47 118
"16" 60 710 126778 425 74 64 147
"17" 64 916 126581 569 84 83 180
"18" 68 1126 126355 687 112 102 225
"19" 72 1465 126008 902 163 124 276
"20" 76 1870 125597 1151 212 146 361
"21" 80 2447 125003 1539 253 187 468
"22" 84 3103 124328 1935 326 244 598
"23" 88 3914 123469 2411 421 324 758
"24" 92 5064 122343 3106 559 425 974
"25" 96 6440 120890 3971 665 528 1276
"26" 100 8246 119053 5076 875 679 1616
"27" 104 10521 116729 6447 1119 873 2082
"28" 108 13318 113832 8166 1381 1110 2661
"29" 112 16868 110229 10256 1798 1407 3407
"30" 116 20942 105990 12578 2212 1822 4330
"31" 120 26161 100697 15519 2802 2309 5531
"32" 124 32388 94332 18838 3605 2901 7044
"33" 128 39773 86756 22801 4421 3688 8863
"34" 132 48152 78273 26900 5470 4690 11092
"35" 136 57504 68695 31078 6686 5850 13890
"36" 140 67543 58506 35051 8070 7199 17223
"37" 144 77773 48093 38174 9478 8901 21220
"38" 148 88020 37796 40313 10925 10888 25894
"39" 152 97709 28131 41191 12159 13179 31180
"40" 156 106213 19615 40488 13009 15658 37058
"41" 160 113068 12886 37448 14067 18278 43275
"42" 164 118159 7982 32927 14325 21101 49806
"43" 168 121696 4627 27276 14145 23972 56303
"44" 172 124017 2566 21377 13327 26708 62605
"45" 176 125369 1439 15894 11897 29277 68301
"46" 180 126156 854 11093 10268 31428 73367
"47" 184 126625 514 7401 8366 33284 77574
"48" 188 126890 338 4747 6507 34718 80918
"49" 192 127083 243 2924 4865 35775 83519
"50" 196 127201 191 1786 3476 36555 85384
"51" 200 127277 154 1028 2408 37129 86712
