"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 4 23 127488 13 4 2 4
"3" 8 38 127470 28 3 3 4
"4" 12 44 127465 32 2 3 7
"5" 16 58 127452 38 6 4 10
"6" 20 72 127435 43 9 6 14
"7" 24 102 127404 68 9 6 19
"8" 28 136 127369 92 11 8 25
"9" 32 164 127338 107 17 10 30
"10" 36 225 127279 152 24 14 35
"11" 40 271 127229 173 28 21 49
"12" 44 360 127142 230 44 25 61
"13" 48 495 127003 320 56 39 80
"14" 52 656 126827 417 80 50 109
"15" 56 882 126613 572 104 61 145
"16" 60 1113 126361 728 101 86 198
"17" 64 1392 126079 895 128 110 259
"18" 68 1778 125693 1110 192 141 335
"19" 72 2265 125185 1397 241 183 444
"20" 76 2926 124511 1801 333 234 558
"21" 80 3770 123635 2357 388 305 720
"22" 84 4745 122639 2920 504 397 924
"23" 88 6066 121302 3736 618 496 1216
"24" 92 7656 119664 4693 764 642 1557
"25" 96 9660 117601 5892 986 833 1949
"26" 100 12159 115037 7317 1323 1057 2462
"27" 104 15407 111714 9247 1663 1347 3150
"28" 108 19298 107743 11542 2062 1694 4000
"29" 112 24014 102919 14222 2584 2144 5064
"30" 116 29534 97223 17112 3310 2708 6404
"31" 120 36573 90041 20952 4020 3446 8155
"32" 124 44537 81943 25087 4927 4295 10228
"33" 128 53407 72892 29230 6103 5415 12659
"34" 132 63072 63029 33171 7464 6743 15694
"35" 136 73394 52561 36858 8828 8328 19380
"36" 140 83810 42017 39711 10240 10163 23696
"37" 144 93619 32297 40958 11625 12303 28733
"38" 148 102513 23316 40717 12822 14690 34284
"39" 152 110083 15834 38650 13831 17244 40358
"40" 156 115968 10073 34689 14431 20048 46800
"41" 160 120195 6016 29667 14253 22969 53306
"42" 164 122944 3470 23699 13752 25839 59654
"43" 168 124812 1952 18164 12480 28414 65754
"44" 172 125791 1127 13116 10856 30702 71117
"45" 176 126433 676 8933 9163 32681 75656
"46" 180 126794 436 5878 7384 34315 79217
"47" 184 127004 313 3661 5621 35611 82111
"48" 188 127104 245 2194 4048 36543 84319
"49" 192 127230 200 1314 2881 37170 85865
"50" 196 127280 178 801 1937 37622 86920
"51" 200 127320 156 496 1289 37918 87617
