"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 15 12745 5 6 1 3
"3" 8 16 12744 6 0 3 7
"4" 12 16 12744 5 1 3 7
"5" 16 17 12743 5 1 3 8
"6" 20 20 12738 8 1 3 8
"7" 24 24 12736 10 1 3 10
"8" 28 24 12736 10 0 3 11
"9" 32 24 12736 6 3 4 11
"10" 36 27 12733 6 3 4 14
"11" 40 30 12729 9 1 4 16
"12" 44 31 12729 9 2 4 16
"13" 48 31 12728 6 3 4 18
"14" 52 36 12724 11 3 4 18
"15" 56 38 12721 10 5 5 18
"16" 60 45 12715 17 3 7 18
"17" 64 45 12715 15 5 7 18
"18" 68 49 12711 17 3 7 22
"19" 72 49 12709 15 2 8 24
"20" 76 57 12702 17 6 9 25
"21" 80 63 12696 20 2 13 28
"22" 84 64 12695 14 6 14 30
"23" 88 69 12691 16 7 15 31
"24" 92 75 12685 17 8 15 35
"25" 96 87 12673 25 7 15 40
"26" 100 89 12670 26 2 17 44
"27" 104 99 12661 29 6 18 46
"28" 108 107 12653 27 6 20 54
"29" 112 111 12648 24 10 21 56
"30" 116 114 12645 21 11 22 60
"31" 120 119 12641 19 9 24 67
"32" 124 125 12635 20 8 25 72
"33" 128 128 12632 16 9 27 76
"34" 132 134 12625 15 9 29 81
"35" 136 137 12623 14 8 32 83
"36" 140 147 12613 18 11 34 84
"37" 144 150 12609 18 7 36 89
"38" 148 156 12603 16 8 38 94
"39" 152 160 12600 16 10 38 96
"40" 156 163 12595 16 8 40 99
"41" 160 166 12593 15 9 41 101
"42" 164 170 12590 13 7 42 108
"43" 168 173 12587 12 5 45 111
"44" 172 174 12586 10 3 46 115
"45" 176 177 12583 8 8 46 115
"46" 180 179 12581 6 9 47 117
"47" 184 179 12581 4 4 48 123
"48" 188 180 12580 4 5 48 123
"49" 192 180 12580 2 4 50 124
"50" 196 181 12579 2 0 52 127
"51" 200 181 12579 2 0 52 127
