# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads' 'I-positive' 'I-zero' 'I-negative' 'tot-info'
 0.000000E+00 10 100000 0 10 0 0 0 100010 0 100010
 4.000000E+00 10 99999 1 5 1 3 100006 0 0 100006
 8.000000E+00 10 99999 1 2 2 5 100004 0 0 100004
 1.200000E+01 10 99999 1 1 2 6 100003 0 0 100003
 1.600000E+01 10 99999 0 1 2 7 100002 0 0 100002
 2.000000E+01 9 99999 0 0 2 7 100001 0 0 100001
 2.400000E+01 9 99999 0 0 2 7 100001 0 0 100001
 2.800000E+01 9 99999 0 0 2 7 100001 0 0 100001
 3.200000E+01 9 99999 0 0 2 7 100001 0 0 100001
 3.600000E+01 9 99999 0 0 2 7 100001 0 0 100001
 4.000000E+01 9 99999 0 0 2 7 100001 0 0 100001
 4.400000E+01 9 99999 0 0 2 7 100001 0 0 100001
 4.800000E+01 9 99999 0 0 2 7 100001 0 0 100001
 5.200000E+01 9 99999 0 0 2 7 100001 0 0 100001
 5.600000E+01 9 99999 0 0 2 7 100001 0 0 100001
 6.000000E+01 9 99999 0 0 2 7 100001 0 0 100001
 6.400000E+01 9 99999 0 0 2 7 100001 0 0 100001
 6.800000E+01 9 99999 0 0 2 7 100001 0 0 100001
 7.200000E+01 9 99999 0 0 2 7 100001 0 0 100001
 7.600000E+01 9 99999 0 0 2 7 100001 0 0 100001
 8.000000E+01 9 99999 0 0 2 7 100001 0 0 100001
 8.400000E+01 9 99999 0 0 2 7 100001 0 0 100001
 8.800000E+01 9 99999 0 0 2 7 100001 0 0 100001
 9.200000E+01 9 99999 0 0 2 7 100001 0 0 100001
 9.600000E+01 9 99999 0 0 2 7 100001 0 0 100001
 1.000000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.040000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.080000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.120000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.160000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.200000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.240000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.280000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.320000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.360000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.400000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.440000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.480000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.520000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.560000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.600000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.640000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.680000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.720000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.760000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.800000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.840000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.880000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.920000E+02 9 99999 0 0 2 7 100001 0 0 100001
 1.960000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.000000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.040000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.080000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.120000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.160000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.200000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.240000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.280000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.320000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.360000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.400000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.440000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.480000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.520000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.560000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.600000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.640000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.680000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.720000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.760000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.800000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.840000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.880000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.920000E+02 9 99999 0 0 2 7 100001 0 0 100001
 2.960000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.000000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.040000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.080000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.120000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.160000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.200000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.240000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.280000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.320000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.360000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.400000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.440000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.480000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.520000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.560000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.600000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.640000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.680000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.720000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.760000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.800000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.840000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.880000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.920000E+02 9 99999 0 0 2 7 100001 0 0 100001
 3.960000E+02 9 99999 0 0 2 7 100001 0 0 100001
 4.000000E+02 9 99999 0 0 2 7 100001 0 0 100001

#Simulation ended (eff.: 0.999662, detail below)
	#Events: 100513
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
