"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 22 12738 12 4 2 4
"3" 8 27 12733 15 6 2 4
"4" 12 31 12728 18 2 4 7
"5" 16 39 12720 24 3 4 8
"6" 20 44 12715 25 6 5 8
"7" 24 47 12712 23 6 8 10
"8" 28 53 12704 24 6 10 13
"9" 32 59 12700 25 8 10 16
"10" 36 70 12688 30 7 11 22
"11" 40 77 12680 35 6 13 23
"12" 44 89 12671 35 12 14 28
"13" 48 96 12661 33 11 21 31
"14" 52 109 12651 37 10 23 39
"15" 56 122 12637 42 13 26 41
"16" 60 133 12627 43 17 28 45
"17" 64 147 12612 45 19 29 54
"18" 68 158 12601 50 12 33 63
"19" 72 168 12589 51 11 35 71
"20" 76 181 12575 49 17 38 77
"21" 80 194 12564 49 20 42 83
"22" 84 211 12548 50 24 48 89
"23" 88 218 12537 50 20 50 98
"24" 92 233 12527 50 22 55 106
"25" 96 246 12513 49 20 61 116
"26" 100 260 12497 51 17 67 125
"27" 104 280 12479 60 19 69 132
"28" 108 292 12467 56 19 77 140
"29" 112 303 12456 49 18 79 157
"30" 116 316 12442 52 18 85 161
"31" 120 324 12436 48 17 89 170
"32" 124 333 12424 45 19 92 177
"33" 128 348 12411 45 20 94 189
"34" 132 363 12395 50 19 98 196
"35" 136 374 12384 49 18 103 204
"36" 140 394 12364 53 26 106 209
"37" 144 409 12348 53 21 112 223
"38" 148 422 12335 52 24 115 231
"39" 152 441 12315 51 31 119 240
"40" 156 459 12300 59 30 122 248
"41" 160 468 12286 58 19 127 264
"42" 164 483 12277 53 21 132 277
"43" 168 493 12266 47 24 137 285
"44" 172 503 12257 36 28 142 297
"45" 176 513 12245 38 20 147 308
"46" 180 520 12236 34 24 149 313
"47" 184 538 12221 44 20 152 322
"48" 188 544 12215 37 22 155 330
"49" 192 550 12208 32 21 160 337
"50" 196 563 12197 34 20 165 344
"51" 200 575 12184 37 19 169 350
