"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 17 12742 7 3 0 7
"3" 8 25 12734 15 2 0 8
"4" 12 26 12733 16 2 0 8
"5" 16 29 12730 17 2 0 10
"6" 20 37 12722 19 6 1 11
"7" 24 41 12717 18 9 2 12
"8" 28 54 12706 25 9 6 14
"9" 32 61 12699 25 12 6 18
"10" 36 77 12679 36 8 6 27
"11" 40 85 12672 38 9 7 31
"12" 44 98 12662 43 10 9 36
"13" 48 110 12649 40 20 10 40
"14" 52 132 12627 51 16 14 51
"15" 56 142 12617 49 20 15 58
"16" 60 157 12603 55 16 18 68
"17" 64 171 12586 57 14 21 79
"18" 68 195 12563 64 14 30 87
"19" 72 208 12549 66 15 31 96
"20" 76 217 12540 67 13 36 101
"21" 80 238 12521 64 23 41 110
"22" 84 247 12507 58 25 44 120
"23" 88 270 12485 66 25 50 129
"24" 92 295 12464 75 22 56 142
"25" 96 316 12441 77 26 61 152
"26" 100 351 12407 94 28 67 162
"27" 104 376 12379 95 26 74 181
"28" 108 393 12362 89 30 77 197
"29" 112 412 12344 84 35 81 212
"30" 116 442 12315 90 40 86 226
"31" 120 469 12287 89 46 92 242
"32" 124 497 12257 99 34 98 266
"33" 128 527 12229 106 33 103 285
"34" 132 553 12202 108 32 110 303
"35" 136 568 12188 95 42 114 317
"36" 140 594 12163 88 51 126 329
"37" 144 622 12136 91 50 133 348
"38" 148 650 12103 94 46 140 370
"39" 152 666 12091 84 38 147 397
"40" 156 687 12071 76 35 157 419
"41" 160 705 12050 70 36 162 437
"42" 164 731 12028 75 37 167 452
"43" 168 744 12014 71 39 172 462
"44" 172 757 12001 61 35 182 479
"45" 176 774 11984 66 22 190 496
"46" 180 792 11964 65 29 195 503
"47" 184 811 11949 67 28 202 514
"48" 188 818 11937 64 24 206 524
"49" 192 834 11922 55 26 210 543
"50" 196 849 11908 53 30 214 552
"51" 200 865 11893 50 31 218 566
