"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 20 12740 10 7 2 1
"3" 8 29 12731 19 3 3 4
"4" 12 32 12726 20 5 3 4
"5" 16 40 12719 23 5 6 6
"6" 20 49 12710 25 9 8 7
"7" 24 58 12701 25 11 9 13
"8" 28 65 12693 27 11 11 16
"9" 32 76 12683 32 12 11 21
"10" 36 90 12669 43 8 14 25
"11" 40 101 12657 42 12 17 30
"12" 44 116 12644 48 10 21 37
"13" 48 126 12629 45 17 22 42
"14" 52 145 12614 50 17 26 52
"15" 56 161 12595 52 18 31 60
"16" 60 183 12575 61 19 34 69
"17" 64 195 12561 58 19 40 78
"18" 68 220 12537 69 19 48 84
"19" 72 234 12524 72 21 52 89
"20" 76 250 12507 75 16 59 100
"21" 80 269 12489 72 21 68 108
"22" 84 283 12472 63 29 74 117
"23" 88 307 12452 72 22 81 132
"24" 92 322 12437 70 23 85 144
"25" 96 346 12411 75 27 89 155
"26" 100 359 12395 71 26 96 166
"27" 104 382 12374 75 29 102 176
"28" 108 400 12358 73 33 106 188
"29" 112 435 12322 89 32 112 202
"30" 116 455 12303 83 35 121 216
"31" 120 479 12279 85 36 123 235
"32" 124 505 12252 83 40 127 255
"33" 128 535 12224 94 43 131 267
"34" 132 554 12202 92 38 142 282
"35" 136 578 12182 94 39 149 296
"36" 140 595 12163 86 38 158 313
"37" 144 618 12138 82 45 168 323
"38" 148 638 12118 83 43 174 338
"39" 152 661 12096 82 42 180 357
"40" 156 671 12083 69 39 189 374
"41" 160 693 12064 71 36 195 391
"42" 164 713 12044 74 32 202 405
"43" 168 730 12028 71 35 207 417
"44" 172 757 12003 79 34 214 430
"45" 176 774 11982 72 40 218 444
"46" 180 795 11964 76 40 226 453
"47" 184 806 11952 64 37 235 470
"48" 188 825 11934 61 45 236 483
"49" 192 841 11918 62 30 241 508
"50" 196 848 11909 51 36 247 514
"51" 200 857 11897 45 29 254 529
