"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 17 12743 7 4 1 5
"3" 8 22 12736 12 2 1 7
"4" 12 26 12733 15 1 2 8
"5" 16 29 12731 15 4 2 8
"6" 20 34 12726 15 5 4 10
"7" 24 40 12719 17 5 5 13
"8" 28 42 12717 17 4 6 15
"9" 32 47 12713 16 6 7 18
"10" 36 51 12709 14 7 10 20
"11" 40 64 12696 19 11 10 24
"12" 44 75 12685 28 6 12 29
"13" 48 81 12679 33 4 14 30
"14" 52 83 12677 28 7 15 33
"15" 56 86 12673 28 6 16 36
"16" 60 94 12663 24 7 18 45
"17" 64 108 12652 32 8 20 48
"18" 68 114 12645 31 7 22 54
"19" 72 121 12637 32 7 24 58
"20" 76 131 12627 34 12 24 61
"21" 80 137 12622 31 13 24 69
"22" 84 156 12604 36 15 27 78
"23" 88 162 12598 36 14 29 83
"24" 92 165 12590 31 14 30 90
"25" 96 181 12577 35 17 31 98
"26" 100 195 12562 41 14 35 105
"27" 104 209 12550 44 18 37 110
"28" 108 212 12545 39 13 38 122
"29" 112 226 12531 43 13 42 128
"30" 116 238 12522 43 14 44 137
"31" 120 246 12510 40 19 45 142
"32" 124 260 12498 42 16 48 154
"33" 128 267 12492 39 13 53 162
"34" 132 285 12475 44 15 59 167
"35" 136 291 12469 41 17 61 172
"36" 140 302 12456 41 15 64 182
"37" 144 312 12448 41 10 68 193
"38" 148 317 12441 36 14 72 195
"39" 152 327 12432 36 18 73 200
"40" 156 341 12416 36 22 76 207
"41" 160 345 12414 35 13 79 218
"42" 164 350 12409 29 16 80 225
"43" 168 356 12404 25 15 84 232
"44" 172 361 12399 22 13 88 238
"45" 176 364 12395 20 7 89 248
"46" 180 369 12391 17 11 90 251
"47" 184 371 12388 15 10 92 254
"48" 188 376 12384 15 7 93 261
"49" 192 383 12378 17 8 94 264
"50" 196 389 12371 18 7 96 268
"51" 200 393 12367 18 6 96 273
