"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 17 12742 7 4 1 5
"3" 8 26 12734 15 5 1 5
"4" 12 31 12729 19 4 2 6
"5" 16 32 12725 17 6 2 7
"6" 20 45 12715 27 4 3 11
"7" 24 50 12706 25 9 3 13
"8" 28 63 12697 34 6 4 19
"9" 32 71 12689 34 10 5 22
"10" 36 80 12677 37 11 8 24
"11" 40 90 12670 40 13 9 28
"12" 44 96 12661 35 11 12 38
"13" 48 105 12651 36 10 15 44
"14" 52 129 12630 47 15 16 51
"15" 56 141 12617 53 14 21 53
"16" 60 156 12601 55 19 25 57
"17" 64 166 12592 52 21 27 66
"18" 68 181 12575 54 20 31 76
"19" 72 194 12561 56 20 34 84
"20" 76 217 12540 57 32 39 89
"21" 80 245 12513 73 26 45 101
"22" 84 260 12498 73 22 50 115
"23" 88 278 12479 70 30 55 123
"24" 92 297 12461 72 26 65 134
"25" 96 321 12436 75 31 71 144
"26" 100 338 12419 81 28 75 154
"27" 104 354 12403 74 33 80 167
"28" 108 368 12385 67 32 88 181
"29" 112 391 12365 74 27 93 197
"30" 116 413 12342 79 30 98 206
"31" 120 442 12316 84 34 103 221
"32" 124 465 12294 93 27 109 236
"33" 128 481 12276 90 26 115 250
"34" 132 508 12251 90 39 117 262
"35" 136 532 12223 90 34 129 279
"36" 140 552 12204 88 35 136 293
"37" 144 580 12178 93 39 145 303
"38" 148 597 12162 84 37 154 322
"39" 152 609 12149 73 31 159 346
"40" 156 628 12130 66 34 164 364
"41" 160 647 12111 65 32 172 378
"42" 164 671 12088 66 33 179 393
"43" 168 686 12071 64 31 187 404
"44" 172 696 12059 65 26 190 415
"45" 176 712 12045 59 32 197 424
"46" 180 719 12039 43 36 206 434
"47" 184 734 12021 44 22 215 453
"48" 188 752 12008 49 24 217 462
"49" 192 763 11994 48 22 222 471
"50" 196 771 11988 45 20 225 481
"51" 200 775 11983 36 18 230 491
