# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 10 100000 0 10 0 0
 4.000000E+00 23 99980 15 5 1 2
 8.000000E+00 22 99976 12 3 2 5
 1.200000E+01 26 99972 16 2 3 5
 1.600000E+01 35 99967 22 2 3 8
 2.000000E+01 28 99963 12 2 3 11
 2.400000E+01 45 99957 25 4 3 13
 2.800000E+01 60 99945 34 9 3 14
 3.200000E+01 71 99929 38 6 8 19
 3.600000E+01 84 99918 46 5 10 23
 4.000000E+01 107 99898 56 13 12 26
 4.400000E+01 122 99876 57 13 14 38
 4.800000E+01 182 99832 105 18 15 44
 5.200000E+01 228 99787 131 26 19 52
 5.600000E+01 292 99709 177 29 24 62
 6.000000E+01 371 99630 217 49 31 74
 6.400000E+01 484 99496 287 55 37 105
 6.800000E+01 606 99332 359 63 48 136
 7.200000E+01 763 99161 449 80 62 172
 7.600000E+01 976 98940 565 115 79 217
 8.000000E+01 1284 98651 765 143 102 274
 8.400000E+01 1631 98253 929 219 132 351
 8.800000E+01 2072 97739 1202 235 170 465
 9.200000E+01 2641 97097 1549 290 220 582
 9.600000E+01 3387 96298 2000 377 289 721
 1.000000E+02 4366 95208 2550 530 376 910
 1.040000E+02 5588 93839 3237 682 489 1180
 1.080000E+02 7000 92120 4010 810 643 1537
 1.120000E+02 8757 90019 4926 1025 837 1969
 1.160000E+02 11000 87458 6160 1281 1064 2495
 1.200000E+02 13751 84285 7708 1590 1342 3111
 1.240000E+02 16976 80426 9331 1962 1703 3980
 1.280000E+02 20895 75785 11259 2505 2126 5005
 1.320000E+02 25512 70205 13438 3112 2693 6269
 1.360000E+02 30391 63710 15414 3814 3392 7771
 1.400000E+02 36178 56234 17710 4504 4233 9731
 1.440000E+02 42264 47888 19667 5413 5211 11973
 1.480000E+02 48111 39091 20797 6286 6369 14659
 1.520000E+02 53951 30291 21490 7012 7673 17776
 1.560000E+02 59258 22145 21313 7762 9097 21086
 1.600000E+02 63785 15070 20148 8170 10729 24738
 1.640000E+02 67779 9641 18112 8650 12379 28638
 1.680000E+02 70657 5848 15434 8636 14050 32537
 1.720000E+02 72653 3317 12254 8352 15715 36332
 1.760000E+02 74073 1864 9293 7475 17284 40021
 1.800000E+02 75038 1048 6667 6454 18661 43256
 1.840000E+02 75692 623 4479 5295 19871 46047
 1.880000E+02 76290 377 3001 4269 20796 48224
 1.920000E+02 76620 253 1890 3188 21571 49971
 1.960000E+02 76738 196 1127 2234 22141 51236
 2.000000E+02 76861 156 674 1585 22507 52095

#Simulation ended (eff.: 0.948022, detail below)
	#Events: 1412297
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
