# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 7000 0 0 0 0
 4.000000E+00 5 7000 5 0 0 0
 8.000000E+00 2 7000 2 0 0 0
 1.200000E+01 3 6999 3 0 0 0
 1.600000E+01 7 6998 6 1 0 0
 2.000000E+01 10 6998 8 2 0 0
 2.400000E+01 15 6996 9 3 1 2
 2.800000E+01 18 6991 13 1 1 3
 3.200000E+01 25 6989 19 2 1 3
 3.600000E+01 38 6981 30 3 1 4
 4.000000E+01 40 6975 29 5 2 4
 4.400000E+01 55 6958 41 4 4 6
 4.800000E+01 72 6946 54 6 5 7
 5.200000E+01 96 6924 74 6 7 9
 5.600000E+01 98 6909 67 7 8 16
 6.000000E+01 147 6887 107 8 13 19
 6.400000E+01 190 6851 133 16 17 24
 6.800000E+01 217 6821 142 26 20 29
 7.200000E+01 278 6757 188 22 29 39
 7.600000E+01 373 6691 257 27 33 56
 8.000000E+01 459 6606 307 42 39 71
 8.400000E+01 585 6506 395 49 54 87
 8.800000E+01 777 6404 541 70 62 104
 9.200000E+01 943 6227 641 100 71 131
 9.600000E+01 1266 6013 895 98 90 183
 1.000000E+02 1425 5799 987 110 105 223
 1.040000E+02 1870 5551 1314 160 129 267
 1.080000E+02 2350 5190 1635 202 165 348
 1.120000E+02 2915 4745 2023 219 206 467
 1.160000E+02 3638 4243 2479 314 263 582
 1.200000E+02 4591 3653 3144 380 328 739
 1.240000E+02 5538 3009 3713 513 400 912
 1.280000E+02 6580 2365 4245 649 508 1178
 1.320000E+02 7802 1723 4962 720 638 1482
 1.360000E+02 8837 1200 5288 910 799 1840
 1.400000E+02 10120 728 5851 992 985 2292
 1.440000E+02 11255 438 6169 1125 1183 2778
 1.480000E+02 12181 239 6128 1280 1427 3346
 1.520000E+02 13028 125 6038 1373 1702 3915
 1.560000E+02 13428 67 5454 1441 1975 4558
 1.600000E+02 13746 30 4747 1514 2267 5218
 1.640000E+02 13751 20 3871 1456 2549 5875
 1.680000E+02 13672 11 2975 1394 2784 6519
 1.720000E+02 13594 6 2216 1275 3031 7072
 1.760000E+02 13314 5 1469 1019 3241 7585
 1.800000E+02 13091 2 942 783 3420 7946
 1.840000E+02 13091 2 642 656 3557 8236
 1.880000E+02 13015 2 413 449 3680 8473
 1.920000E+02 12937 1 205 331 3759 8642
 1.960000E+02 12947 1 129 224 3814 8780
 2.000000E+02 12944 1 89 148 3839 8868

#Simulation ended (eff.: 0.961820, detail below)
	#Events: 468191
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
