"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 16 12744 6 3 5 2
"3" 8 17 12742 7 1 5 4
"4" 12 18 12742 8 1 5 4
"5" 16 21 12739 8 3 6 4
"6" 20 23 12736 7 4 6 6
"7" 24 29 12731 11 3 6 9
"8" 28 35 12724 17 3 6 9
"9" 32 37 12723 16 5 6 10
"10" 36 43 12717 20 2 8 13
"11" 40 45 12715 18 2 10 15
"12" 44 46 12714 18 2 10 16
"13" 48 54 12706 17 7 12 18
"14" 52 58 12702 17 7 13 21
"15" 56 64 12695 19 8 13 24
"16" 60 65 12694 17 6 15 27
"17" 64 75 12684 19 8 16 32
"18" 68 79 12680 20 6 17 36
"19" 72 84 12675 19 7 19 39
"20" 76 100 12659 30 8 21 41
"21" 80 105 12653 31 5 26 43
"22" 84 110 12648 27 8 28 47
"23" 88 117 12643 27 9 31 50
"24" 92 123 12637 31 6 33 53
"25" 96 133 12626 27 12 36 58
"26" 100 146 12612 32 16 37 61
"27" 104 151 12608 28 17 38 68
"28" 108 159 12599 29 16 41 73
"29" 112 166 12593 27 18 44 77
"30" 116 175 12584 28 13 49 85
"31" 120 189 12571 38 6 53 92
"32" 124 195 12561 36 7 56 96
"33" 128 206 12553 35 10 60 101
"34" 132 215 12545 35 14 62 104
"35" 136 230 12529 36 23 62 109
"36" 140 245 12513 39 22 64 120
"37" 144 254 12504 40 19 69 126
"38" 148 262 12498 39 15 73 135
"39" 152 265 12492 32 17 77 139
"40" 156 272 12487 29 17 80 146
"41" 160 275 12484 22 13 85 155
"42" 164 280 12479 20 14 85 161
"43" 168 285 12475 21 9 89 166
"44" 172 289 12471 21 6 92 170
"45" 176 292 12464 15 9 96 172
"46" 180 296 12462 16 7 97 176
"47" 184 300 12460 14 9 99 178
"48" 188 303 12457 13 8 101 181
"49" 192 304 12456 7 9 103 185
"50" 196 308 12453 6 8 103 191
"51" 200 310 12450 7 8 103 192
