"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 4 25 127485 15 3 1 6
"3" 8 33 127476 23 3 1 6
"4" 12 39 127471 26 5 2 6
"5" 16 55 127455 37 8 3 7
"6" 20 71 127437 47 5 5 14
"7" 24 89 127419 56 9 9 15
"8" 28 110 127399 64 12 13 21
"9" 32 135 127374 78 13 17 27
"10" 36 160 127345 93 14 18 35
"11" 40 198 127307 114 21 21 42
"12" 44 239 127264 139 23 27 50
"13" 48 296 127207 170 34 31 61
"14" 52 377 127125 220 41 39 77
"15" 56 480 127020 280 56 50 94
"16" 60 629 126861 385 60 61 123
"17" 64 802 126693 492 86 74 150
"18" 68 996 126492 604 104 93 195
"19" 72 1262 126216 755 139 116 252
"20" 76 1602 125865 984 164 152 302
"21" 80 2005 125451 1228 198 176 403
"22" 84 2565 124865 1582 248 230 505
"23" 88 3230 124196 1964 354 282 630
"24" 92 4139 123255 2503 448 368 820
"25" 96 5234 122136 3182 556 455 1041
"26" 100 6677 120655 4067 689 581 1340
"27" 104 8445 118864 5139 850 732 1724
"28" 108 10586 116664 6383 1094 916 2193
"29" 112 13330 113839 7954 1419 1178 2779
"30" 116 16726 110367 9947 1801 1512 3466
"31" 120 20858 106125 12307 2314 1886 4351
"32" 124 26037 100815 15244 2852 2358 5583
"33" 128 32153 94532 18612 3516 2989 7036
"34" 132 39425 87138 22475 4318 3764 8868
"35" 136 47741 78668 26681 5246 4781 11033
"36" 140 56978 69274 30658 6658 5932 13730
"37" 144 66933 59173 34676 7923 7326 17008
"38" 148 77073 48916 37917 9303 8946 20907
"39" 152 87083 38760 39926 10779 10919 25459
"40" 156 96606 29219 40658 12150 13231 30567
"41" 160 105219 20645 39898 13231 15656 36434
"42" 164 112384 13597 37385 13937 18322 42740
"43" 168 117686 8397 33173 14344 21057 49112
"44" 172 121651 4737 27916 14259 23894 55582
"45" 176 123898 2616 22070 13433 26599 61796
"46" 180 125278 1461 16486 12188 29070 67534
"47" 184 126141 832 11657 10437 31342 72705
"48" 188 126641 505 7806 8558 33213 77064
"49" 192 126938 335 5041 6779 34679 80439
"50" 196 127096 245 3090 5070 35784 83152
"51" 200 127215 184 1856 3629 36636 85094
