"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 17 12742 7 7 3 0
"3" 8 23 12737 13 3 4 3
"4" 12 29 12731 17 3 4 5
"5" 16 35 12725 21 4 4 6
"6" 20 38 12719 23 2 5 8
"7" 24 46 12712 26 3 7 10
"8" 28 55 12704 29 5 7 14
"9" 32 65 12695 32 5 9 19
"10" 36 71 12689 31 10 9 21
"11" 40 79 12679 32 13 10 24
"12" 44 94 12665 44 11 12 27
"13" 48 104 12653 45 13 15 31
"14" 52 117 12642 45 18 18 36
"15" 56 130 12627 50 18 20 42
"16" 60 140 12614 47 17 26 50
"17" 64 155 12598 49 16 27 63
"18" 68 178 12580 60 18 29 71
"19" 72 201 12557 67 19 31 84
"20" 76 215 12544 66 20 37 92
"21" 80 228 12528 65 18 42 103
"22" 84 243 12516 51 34 46 112
"23" 88 262 12496 54 31 48 129
"24" 92 288 12471 64 30 56 138
"25" 96 313 12446 71 34 60 148
"26" 100 333 12427 80 30 65 158
"27" 104 350 12409 76 29 68 177
"28" 108 367 12391 74 31 72 190
"29" 112 386 12368 76 34 76 200
"30" 116 406 12353 73 32 82 219
"31" 120 424 12334 71 29 89 235
"32" 124 441 12317 65 34 99 243
"33" 128 456 12301 66 30 106 254
"34" 132 482 12274 70 32 111 269
"35" 136 501 12257 70 29 115 287
"36" 140 515 12243 62 30 120 303
"37" 144 535 12223 67 28 127 313
"38" 148 552 12206 69 23 130 330
"39" 152 566 12191 66 27 130 343
"40" 156 580 12178 55 34 135 356
"41" 160 594 12163 51 30 142 371
"42" 164 608 12152 55 24 146 383
"43" 168 622 12136 54 21 154 393
"44" 172 632 12127 47 24 157 404
"45" 176 649 12109 43 29 163 414
"46" 180 659 12100 40 25 168 426
"47" 184 667 12092 37 20 173 437
"48" 188 678 12081 35 19 177 447
"49" 192 680 12077 25 15 181 459
"50" 196 689 12071 25 16 186 462
"51" 200 691 12068 20 14 191 466
