"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 17 12742 8 6 0 3
"3" 8 22 12738 12 5 1 4
"4" 12 27 12732 16 5 2 4
"5" 16 30 12730 17 4 4 5
"6" 20 34 12726 20 2 4 8
"7" 24 37 12722 18 4 6 9
"8" 28 45 12715 23 4 8 10
"9" 32 50 12708 20 4 11 15
"10" 36 62 12698 29 3 13 17
"11" 40 64 12695 25 3 16 20
"12" 44 76 12684 30 8 17 21
"13" 48 82 12677 31 4 21 26
"14" 52 92 12666 28 14 21 29
"15" 56 106 12653 34 14 22 36
"16" 60 113 12646 37 13 23 40
"17" 64 118 12641 31 17 29 41
"18" 68 133 12626 35 17 35 46
"19" 72 142 12616 36 10 39 57
"20" 76 153 12605 41 10 40 62
"21" 80 159 12600 40 7 42 70
"22" 84 169 12589 37 12 46 74
"23" 88 188 12572 44 15 48 81
"24" 92 198 12561 45 14 52 87
"25" 96 208 12550 50 9 54 95
"26" 100 225 12534 51 15 58 101
"27" 104 234 12525 49 13 63 109
"28" 108 248 12510 50 12 70 116
"29" 112 261 12496 50 18 73 120
"30" 116 276 12481 54 17 78 127
"31" 120 292 12468 58 21 81 132
"32" 124 297 12460 49 18 84 146
"33" 128 312 12447 47 24 89 152
"34" 132 327 12431 43 27 94 163
"35" 136 343 12415 45 22 98 178
"36" 140 348 12407 41 19 100 188
"37" 144 363 12395 39 19 107 198
"38" 148 378 12381 42 14 114 208
"39" 152 380 12377 34 15 116 215
"40" 156 400 12360 45 16 117 222
"41" 160 406 12354 39 18 119 230
"42" 164 410 12349 32 21 122 235
"43" 168 434 12326 40 24 126 244
"44" 172 445 12314 40 19 132 254
"45" 176 452 12308 35 22 135 260
"46" 180 462 12295 35 16 140 271
"47" 184 472 12287 31 19 144 278
"48" 188 474 12284 23 21 147 283
"49" 192 482 12276 24 9 150 299
"50" 196 489 12271 25 7 154 303
"51" 200 491 12266 23 6 155 307
